,Proximity_to_Beer,Covered,Customer_Rating,Price,Row,Section,Home_Away,Family_Bathrooms,Section/Row,Covered_Seating,Home or Away
261,1.0,0.0,4.0,90.0,16,135,1,1,"Section 135, Row 16",Uncovered,Home
262,1.0,0.0,4.0,70.0,17,135,1,1,"Section 135, Row 17",Uncovered,Home
264,1.0,0.0,4.0,77.0,20,135,1,1,"Section 135, Row 20",Uncovered,Home
265,1.0,0.0,4.0,62.0,24,135,1,1,"Section 135, Row 24",Uncovered,Home
266,1.0,0.0,4.0,71.0,25,135,1,1,"Section 135, Row 25",Uncovered,Home
267,1.0,0.0,4.0,66.0,26,135,1,1,"Section 135, Row 26",Uncovered,Home
268,1.0,0.0,4.0,62.0,27,135,1,1,"Section 135, Row 27",Uncovered,Home
270,1.0,0.0,4.0,84.0,7,135,1,1,"Section 135, Row 7",Uncovered,Home
271,1.0,0.0,4.0,71.0,9,135,1,1,"Section 135, Row 9",Uncovered,Home
272,1.0,0.0,4.0,72.0,10,136,1,0,"Section 136, Row 10",Uncovered,Home
273,1.0,0.0,4.0,70.67,11,136,1,0,"Section 136, Row 11",Uncovered,Home
274,1.0,0.0,4.0,73.0,12,136,1,0,"Section 136, Row 12",Uncovered,Home
275,1.0,0.0,4.0,65.0,13,136,1,0,"Section 136, Row 13",Uncovered,Home
277,1.0,0.0,4.0,110.0,15,136,1,0,"Section 136, Row 15",Uncovered,Home
278,1.0,0.0,4.0,90.5,16,136,1,0,"Section 136, Row 16",Uncovered,Home
279,1.0,0.0,4.0,85.0,17,136,1,0,"Section 136, Row 17",Uncovered,Home
280,1.0,0.0,4.0,84.0,18,136,1,0,"Section 136, Row 18",Uncovered,Home
283,1.0,0.0,4.0,74.5,23,136,1,0,"Section 136, Row 23",Uncovered,Home
284,1.0,0.0,4.0,70.0,24,136,1,0,"Section 136, Row 24",Uncovered,Home
285,1.0,0.0,4.0,69.0,25,136,1,0,"Section 136, Row 25",Uncovered,Home
286,1.0,0.0,4.0,97.0,5,136,1,0,"Section 136, Row 5",Uncovered,Home
287,1.0,0.0,4.0,93.5,6,136,1,0,"Section 136, Row 6",Uncovered,Home
288,1.0,0.0,4.0,78.0,7,136,1,0,"Section 136, Row 7",Uncovered,Home
289,1.0,0.0,4.0,87.5,8,136,1,0,"Section 136, Row 8",Uncovered,Home
290,1.0,0.0,4.0,74.0,9,136,1,0,"Section 136, Row 9",Uncovered,Home
292,1.0,0.0,4.0,69.33,10,137,1,1,"Section 137, Row 10",Uncovered,Home
293,1.0,0.0,4.0,113.0,13,137,1,1,"Section 137, Row 13",Uncovered,Home
294,1.0,0.0,4.0,67.0,17,137,1,1,"Section 137, Row 17",Uncovered,Home
295,1.0,0.0,4.0,70.0,19,137,1,1,"Section 137, Row 19",Uncovered,Home
296,1.0,0.0,4.0,110.0,2,137,1,1,"Section 137, Row 2",Uncovered,Home
297,1.0,0.0,4.0,78.0,20,137,1,1,"Section 137, Row 20",Uncovered,Home
298,1.0,0.0,4.0,77.0,21,137,1,1,"Section 137, Row 21",Uncovered,Home
