,Section,Row,Price
204,325,8,67.0
205,325,9,64.0
206,325,36,49.0
207,325,53,53.0
208,325,63,53.0
209,325,64,45.0
210,326,13,91.0
211,326,22,54.0
212,326,24,58.0
213,326,29,54.0
214,327,6,85.0
215,327,33,81.0
216,327,45,83.0
217,327,53,60.0
218,328,10,123.0
219,328,14,116.0
220,328,15,115.0
221,329,50,95.0
222,330,8,108.0
223,330,11,121.0
224,330,12,119.0
225,330,13,118.0
226,330,16,113.0
227,330,17,111.0
228,330,18,110.0
229,330,19,108.0
230,330,38,83.0
231,330,39,79.0
232,330,44,89.0
233,331,4,84.0
234,331,5,83.0
235,331,6,81.0
236,331,30,96.0
237,331,46,74.0
238,331,47,66.67
239,331,48,65.0
240,331,51,77.0
241,331,52,75.0
242,331,53,75.5
243,332,1,109.0
244,332,29,56.0
245,332,30,66.5
246,332,34,75.0
247,332,61,51.0
248,332,62,51.5
249,332,63,51.0
250,332,64,51.5
251,332,65,50.0
252,332,66,51.0
253,332,67,46.0
254,333,1,93.0
255,333,4,66.0
256,333,5,67.0
257,333,8,71.0
258,333,9,68.0
259,333,10,65.0
260,333,11,63.0
261,333,16,58.0
262,333,17,62.0
263,333,18,59.0
264,333,20,69.0
265,333,21,61.0
266,333,23,60.5
267,333,24,53.5
268,333,28,69.0
269,333,45,52.0
270,333,59,49.0
271,333,63,49.0
272,333,64,51.0
273,333,65,51.0
274,102,1,117.25
275,102,10,100.0
276,102,11,99.5
277,102,12,112.83
278,102,2,113.86
279,102,3,86.0
280,102,4,99.8
281,102,5,93.8
282,102,6,96.0
283,102,7,101.67
284,102,8,97.67
285,102,9,105.67
286,103,10,104.67
287,103,11,85.0
288,103,14,103.6
289,103,18,97.0
290,103,19,80.0
291,103,2,119.33
292,103,20,109.0
293,103,21,91.0
294,103,25,105.33
295,103,27,111.0
296,103,3,121.83
297,103,32,137.0
298,103,37,149.67
299,103,4,107.75
300,103,5,113.71
301,103,6,126.57
302,103,7,95.5
303,103,8,105.0
304,103,9,96.0
305,104,1,202.5
306,104,10,158.33
307,104,11,136.0
308,104,15,172.0
309,104,2,186.0
310,104,4,201.0
311,104,5,194.5
312,104,6,182.29
313,104,9,150.4
314,104,Zone Seating,187.56
315,105,1,253.9
316,105,2,219.0
317,105,3,191.25
318,105,4,218.0
319,105,7,196.0
320,106,1,316.55
321,106,10,246.33
322,106,12,288.4
323,106,13,277.25
324,106,2,289.75
325,106,20,324.33
326,106,23,325.0
327,106,24,279.75
328,106,29,346.0
329,106,3,292.75
330,106,34,256.0
331,106,37,302.33
332,106,4,283.62
333,106,6,262.5
334,106,Zone Seating,320.64
335,107,1,250.0
336,107,2,213.88
337,107,3,157.0
338,107,4,184.0
339,107,6,208.0
340,107,7,203.5
341,108,1,148.0
342,108,10,167.33
343,108,11,130.5
344,108,12,208.0
345,108,13,130.5
346,108,17,144.75
347,108,18,129.0
348,108,2,201.25
349,108,3,222.0
350,108,4,205.67
351,108,5,188.0
352,108,6,157.0
353,108,8,176.0
354,108,9,152.33
355,109,1,148.75
356,109,11,113.5
357,109,13,95.0
358,109,16,110.0
359,109,2,141.2
360,109,20,115.67
361,109,26,114.67
362,109,28,85.5
363,109,3,123.33
364,109,35,136.75
365,109,4,117.4
366,109,5,110.75
367,109,6,98.5
368,109,8,97.0
369,110,2,109.67
370,110,3,96.75
371,110,4,100.67
372,110,Zone Seating,120.5
373,125,2,111.5
374,125,3,108.33
375,125,4,75.5
376,125,7,84.0
377,125,8,80.0
378,126,11,115.33
379,126,12,96.0
380,126,14,111.0
381,126,15,113.67
382,126,2,129.0
383,126,21,97.0
384,126,25,480.33
385,126,3,113.2
386,126,31,131.0
387,126,33,93.0
388,126,38,128.0
389,126,7,109.0
390,126,8,104.83
391,127,1,188.75
392,127,10,151.56
393,127,11,118.0
